# BEGIN PHI DATASET
#BLOCK HEADER time:0
#x	y	phi	id	pressure

9.85	0.15	-0.212132	0	0
9.95	0.15	-0.158114	0	0
0.05	0.25	-0.254951	0	0
0.15	0.25	-0.291548	0	0
0.25	0.25	-0.353553	0	0
0.35	0.25	-0.414718	0	0
0.45	0.25	-0.407761	0	0
0.55	0.25	-0.400884	0	0
0.65	0.25	-0.394089	0	0
0.75	0.25	-0.387377	0	0
0.85	0.25	-0.380754	0	0
0.95	0.25	-0.374219	0	0
1.05	0.25	-0.367778	0	0
1.15	0.25	-0.361433	0	0
1.25	0.25	-0.355186	0	0
1.35	0.25	-0.349041	0	0
1.45	0.25	-0.343001	0	0
1.55	0.25	-0.337069	0	0
1.65	0.25	-0.331249	0	0
1.75	0.25	-0.325543	0	0
1.85	0.25	-0.319956	0	0
1.95	0.25	-0.314491	0	0
2.05	0.25	-0.309151	0	0
2.15	0.25	-0.30394	0	0
2.25	0.25	-0.298862	0	0
2.35	0.25	-0.293921	0	0
2.45	0.25	-0.28912	0	0
2.55	0.25	-0.284462	0	0
2.65	0.25	-0.279953	0	0
2.75	0.25	-0.275595	0	0
2.85	0.25	-0.271392	0	0
2.95	0.25	-0.267349	0	0
3.05	0.25	-0.263469	0	0
3.15	0.25	-0.259755	0	0
3.25	0.25	-0.256211	0	0
3.35	0.25	-0.252842	0	0
3.45	0.25	-0.24965	0	0
3.55	0.25	-0.246639	0	0
3.65	0.25	-0.243812	0	0
3.75	0.25	-0.241172	0	0
3.85	0.25	-0.238723	0	0
3.95	0.25	-0.236467	0	0
4.05	0.25	-0.234407	0	0
4.15	0.25	-0.232545	0	0
4.25	0.25	-0.230885	0	0
4.35	0.25	-0.229427	0	0
4.45	0.25	-0.228174	0	0
4.55	0.25	-0.227127	0	0
4.65	0.25	-0.226288	0	0
4.75	0.25	-0.225657	0	0
4.85	0.25	-0.225237	0	0
4.95	0.25	-0.225026	0	0
5.05	0.25	-0.225026	0	0
5.15	0.25	-0.225237	0	0
5.25	0.25	-0.225657	0	0
5.35	0.25	-0.226288	0	0
5.45	0.25	-0.227127	0	0
5.55	0.25	-0.228174	0	0
5.65	0.25	-0.229427	0	0
5.75	0.25	-0.230885	0	0
5.85	0.25	-0.232545	0	0
5.95	0.25	-0.234407	0	0
6.05	0.25	-0.236467	0	0
6.15	0.25	-0.238723	0	0
6.25	0.25	-0.241172	0	0
6.35	0.25	-0.243812	0	0
6.45	0.25	-0.246639	0	0
6.55	0.25	-0.24965	0	0
6.65	0.25	-0.252842	0	0
6.75	0.25	-0.256211	0	0
6.85	0.25	-0.259755	0	0
6.95	0.25	-0.263469	0	0
7.05	0.25	-0.267349	0	0
7.15	0.25	-0.271392	0	0
7.25	0.25	-0.275595	0	0
7.35	0.25	-0.279953	0	0
7.45	0.25	-0.284462	0	0
7.55	0.25	-0.28912	0	0
7.65	0.25	-0.293921	0	0
7.75	0.25	-0.298862	0	0
7.85	0.25	-0.30394	0	0
7.95	0.25	-0.309151	0	0
8.05	0.25	-0.314491	0	0
8.15	0.25	-0.319956	0	0
8.25	0.25	-0.325543	0	0
8.35	0.25	-0.331249	0	0
8.45	0.25	-0.337069	0	0
8.55	0.25	-0.343001	0	0
8.65	0.25	-0.349041	0	0
8.75	0.25	-0.355186	0	0
8.85	0.25	-0.361433	0	0
8.95	0.25	-0.367778	0	0
9.05	0.25	-0.374219	0	0
9.15	0.25	-0.380754	0	0
9.25	0.25	-0.387377	0	0
