# BEGIN VELOCITY DATASET
#BLOCK HEADER time:0
#x	y	u	v

3.35	0.35	-0.00133514	-0.0003701
3.45	0.35	-0.00116893	-0.00038372
3.55	0.35	-0.00100408	-0.000404179
3.65	0.35	-0.000840596	-0.000410959
3.75	0.35	-0.000664847	-0.000420511
3.85	0.35	-0.000482286	-0.00041911
3.95	0.35	-0.000310625	-0.000413671
4.05	0.35	-0.000140326	-0.000410989
4.15	0.35	3.406e-05	-0.00039871
4.25	0.35	0.000201634	-0.000387803
4.35	0.35	0.000358309	-0.000367358
4.45	0.35	0.000510898	-0.000345558
4.55	0.35	0.000652586	-0.000318304
4.65	0.35	0.000779288	-0.00029242
4.75	0.35	0.000900541	-0.000261098
4.85	0.35	0.00100272	-0.000231087
4.95	0.35	0.00109128	-0.000197038
5.05	0.35	0.00117029	-0.000163004
5.15	0.35	0.00123296	-0.00012894
5.25	0.35	0.0012861	-9.62317e-05
5.35	0.35	0.00132561	-6.76364e-05
5.45	0.35	0.00135013	-3.49431e-05
5.55	0.35	0.00136103	-4.94719e-06
5.65	0.35	0.00135694	2.5034e-05
5.75	0.35	0.00134604	4.95613e-05
5.85	0.35	0.00133242	8.08835e-05
5.95	0.35	0.00129427	9.99869e-05
6.05	0.35	0.00125068	0.000128582
6.15	0.35	0.00120708	0.000148997
6.25	0.35	0.00114032	0.000170782
6.35	0.35	0.00107084	0.000189841
6.45	0.35	0.000999996	0.000207558
6.55	0.35	0.000912803	0.000228003
6.65	0.35	0.00082016	0.000248417
6.75	0.35	0.000727517	0.000256598
6.85	0.35	0.000625338	0.00027433
6.95	0.35	0.000513622	0.000282496
7.05	0.35	0.000399181	0.000292033
7.15	0.35	0.000286102	0.000296131
7.25	0.35	0.000168937	0.000300199
7.35	0.35	5.31333e-05	0.000304297
7.45	0.35	0	0
0.05	0.45	0	0
0.15	0.45	-9.94546e-05	0.00071165
0.25	0.45	-0.000297001	0.000708923
0.35	0.45	-0.000505447	0.000699401
0.45	0.45	-0.000708444	0.000683054
0.55	0.45	-0.000900541	0.000668064
0.65	0.45	-0.00108991	0.000638083
0.75	0.45	-0.00126702	0.00061354
0.85	0.45	-0.00143869	0.000582203
0.95	0.45	-0.00159945	0.000544071
1.05	0.45	-0.00174795	0.000496387
1.15	0.45	-0.00188555	0.000460997
1.25	0.45	-0.00200817	0.000409201
1.35	0.45	-0.00211852	0.00036563
1.45	0.45	-0.00221389	0.000315204
