# BEGIN PHI DATASET
#BLOCK HEADER time:0
#x	y	phi	id	pressure

3.15	0.25	-0.422376	0	-176.79
3.25	0.25	-0.47182	0	-176.789
3.35	0.25	-0.473838	0	-176.789
3.45	0.25	-0.46813	0	-176.788
3.55	0.25	-0.428842	0	-176.788
3.65	0.25	-0.378696	0	-176.787
3.75	0.25	-0.469238	0	-176.787
3.85	0.25	-0.372198	0	-176.787
3.95	0.25	-0.463528	0	-176.786
4.05	0.25	-0.431647	0	-176.786
4.15	0.25	-0.556653	0	-176.786
4.25	0.25	-0.551059	0	-176.785
4.35	0.25	-0.45224	0	-176.785
4.45	0.25	-0.411273	0	-176.785
4.55	0.25	-0.528732	0	-176.785
4.65	0.25	-0.519383	0	-176.784
4.75	0.25	-0.374735	0	-176.784
4.85	0.25	-0.369373	0	-176.784
4.95	0.25	-0.427149	0	-176.784
5.05	0.25	-0.458701	0	-176.784
5.15	0.25	-0.518967	0	-176.784
5.25	0.25	-0.493383	0	-176.784
5.35	0.25	-0.492348	0	-176.784
5.45	0.25	-0.552057	0	-176.783
5.55	0.25	-0.413553	0	-176.783
5.65	0.25	-0.437325	0	-176.783
5.75	0.25	-0.553222	0	-176.783
5.85	0.25	-0.404225	0	-176.783
5.95	0.25	-0.461994	0	-176.783
6.05	0.25	-0.51194	0	-176.783
6.15	0.25	-0.410867	0	-176.783
6.25	0.25	-0.52017	0	-176.783
6.35	0.25	-0.399875	0	-176.783
6.45	0.25	-0.460884	0	-176.783
6.55	0.25	-0.484209	0	-176.783
6.65	0.25	-0.36984	0	-176.783
6.75	0.25	-0.557696	0	-176.783
6.85	0.25	-0.485553	0	-176.783
6.95	0.25	-0.438482	0	-176.783
7.05	0.25	-0.468321	0	-176.784
7.15	0.25	-0.430116	0	-176.784
7.25	0.25	-0.35355	0	-176.784
7.35	0.25	-0.291511	0	-176.784
7.45	0.25	-0.254951	0	0
0.05	0.35	-0.353553	0	0
0.15	0.35	-0.380709	0	-177.487
0.25	0.35	-0.430069	0	-177.487
0.35	0.35	-0.494935	0	-177.487
0.45	0.35	-0.526787	0	-177.487
0.55	0.35	-0.394511	0	-177.487
0.65	0.35	-0.39642	0	-177.486
0.75	0.35	-0.490824	0	-177.486
0.85	0.35	-0.449929	0	-177.486
0.95	0.35	-0.374882	0	-177.486
1.05	0.35	-0.534866	0	-177.485
1.15	0.35	-0.517873	0	-177.485
1.25	0.35	-0.374665	0	-177.485
1.35	0.35	-0.355298	0	-177.484
1.45	0.35	-0.499767	0	-177.484
1.55	0.35	-0.494471	0	-177.483
1.65	0.35	-0.543417	0	-177.483
1.75	0.35	-0.354586	0	-177.483
1.85	0.35	-0.458468	0	-177.482
1.95	0.35	-0.523964	0	-177.482
2.05	0.35	-0.446921	0	-177.481
2.15	0.35	-0.457534	0	-177.481
2.25	0.35	-0.461288	0	-177.48
2.35	0.35	-0.467061	0	-177.48
2.45	0.35	-0.442051	0	-177.479
2.55	0.35	-0.489597	0	-177.479
2.65	0.35	-0.525174	0	-177.478
2.75	0.35	-0.428888	0	-177.478
2.85	0.35	-0.472903	0	-177.477
2.95	0.35	-0.402041	0	-177.477
3.05	0.35	-0.364753	0	-177.476
3.15	0.35	-0.462843	0	-177.476
3.25	0.35	-0.448302	0	-177.475
3.35	0.35	-0.462924	0	-177.475
3.45	0.35	-0.417851	0	-177.474
3.55	0.35	-0.490548	0	-177.474
3.65	0.35	-0.482376	0	-177.473
