# BEGIN VELOCITY DATASET
#BLOCK HEADER time:0
#x	y	u	v

3.05	0.45	0.22412	-0.0996571
3.15	0.45	0.251852	-0.0828181
3.25	0.45	0.274003	-0.0647887
3.35	0.45	0.290329	-0.0461157
3.45	0.45	0.300762	-0.0273156
3.55	0.45	0.305395	-0.00885031
3.65	0.45	0.304456	0.0088852
3.75	0.45	0.298282	0.025573
3.85	0.45	0.287291	0.0409735
3.95	0.45	0.271952	0.054925
4.05	0.45	0.252762	0.0673335
4.15	0.45	0.230227	0.0781659
4.25	0.45	0.204839	0.087434
4.35	0.45	0.177072	0.0951833
4.45	0.45	0.147366	0.101481
4.55	0.45	0.116132	0.1064
4.65	0.45	0.0837463	0.110015
4.75	0.45	0.0505609	0.112387
4.85	0.45	0.0169052	0.113561
4.95	0.45	0	0
0.05	0.55	0	0
0.15	0.55	-0.0175698	0.148038
0.25	0.55	-0.0525698	0.146567
0.35	0.55	-0.0871402	0.14359
0.45	0.55	-0.120974	0.139044
0.55	0.55	-0.153739	0.132836
0.65	0.55	-0.185064	0.124859
0.75	0.55	-0.214538	0.115
0.85	0.55	-0.241703	0.103152
0.95	0.55	-0.266056	0.0892357
1.05	0.55	-0.287056	0.0732131
1.15	0.55	-0.30414	0.0551082
1.25	0.55	-0.316735	0.0350235
1.35	0.55	-0.324285	0.013157
1.45	0.55	-0.326281	-0.0101881
1.55	0.55	-0.322294	-0.0345983
1.65	0.55	-0.31201	-0.0595508
1.75	0.55	-0.295265	-0.0844251
1.85	0.55	-0.272075	-0.108523
1.95	0.55	-0.242661	-0.131098
2.05	0.55	-0.207464	-0.151388
2.15	0.55	-0.167152	-0.168662
2.25	0.55	-0.1226	-0.182264
2.35	0.55	-0.0748724	-0.191653
2.45	0.55	-0.0251791	-0.196446
2.55	0.55	0.0251804	-0.196447
2.65	0.55	0.0748736	-0.191653
2.75	0.55	0.122601	-0.182264
2.85	0.55	0.167153	-0.168663
2.95	0.55	0.207466	-0.151388
3.05	0.55	0.242662	-0.131098
3.15	0.55	0.272076	-0.108523
3.25	0.55	0.295266	-0.0844247
3.35	0.55	0.312011	-0.0595502
3.45	0.55	0.322294	-0.0345981
3.55	0.55	0.326281	-0.010188
3.65	0.55	0.324285	0.0131575
3.75	0.55	0.316735	0.0350239
3.85	0.55	0.304141	0.0551089
3.95	0.55	0.287057	0.0732135
4.05	0.55	0.266055	0.0892358
4.15	0.55	0.241703	0.103152
4.25	0.55	0.214538	0.115
4.35	0.55	0.185065	0.12486
4.45	0.55	0.153739	0.132836
4.55	0.55	0.120974	0.139044
4.65	0.55	0.0871402	0.14359
4.75	0.55	0.0525701	0.146567
4.85	0.55	0.0175701	0.148038
4.95	0.55	0	0
0.05	0.65	0	0
0.15	0.65	-0.0183767	0.183986
0.25	0.65	-0.0550085	0.182252
0.35	0.65	-0.0912689	0.178736
0.45	0.65	-0.126886	0.173349
0.55	0.65	-0.161551	0.165961
0.65	0.65	-0.194908	0.156418
0.75	0.65	-0.226547	0.144553
0.85	0.65	-0.255991	0.130206
0.95	0.65	-0.2827	0.113244
1.05	0.65	-0.306079	0.0935846
1.15	0.65	-0.32548	0.0712229
1.25	0.65	-0.340233	0.0462569
1.35	0.65	-0.349668	0.018908
1.45	0.65	-0.35315	-0.0104613
1.55	0.65	-0.350124	-0.0413388
1.65	0.65	-0.340155	-0.0730629
1.75	0.65	-0.322975	-0.104837
1.85	0.65	-0.298524	-0.135752
1.95	0.65	-0.266985	-0.164823
2.05	0.65	-0.228805	-0.191039
2.15	0.65	-0.184708	-0.213421
2.25	0.65	-0.135682	-0.231084
2.35	0.65	-0.0829472	-0.243295
2.45	0.65	-0.027909	-0.249536
2.55	0.65	0.02791	-0.249536
2.65	0.65	0.0829483	-0.243295
2.75	0.65	0.135683	-0.231083
2.85	0.65	0.18471	-0.213421
2.95	0.65	0.228806	-0.191039
3.05	0.65	0.266985	-0.164823
3.15	0.65	0.298525	-0.135752
3.25	0.65	0.322975	-0.104837
3.35	0.65	0.340155	-0.073063
3.45	0.65	0.350124	-0.0413385
3.55	0.65	0.35315	-0.0104606
3.65	0.65	0.349668	0.0189083
3.75	0.65	0.340234	0.0462572
3.85	0.65	0.32548	0.0712233
3.95	0.65	0.306079	0.0935849
4.05	0.65	0.282701	0.113245
4.15	0.65	0.255991	0.130207
4.25	0.65	0.226547	0.144554
4.35	0.65	0.194909	0.156418
4.45	0.65	0.161551	0.165961
4.55	0.65	0.126886	0.173349
4.65	0.65	0.0912694	0.178737
4.75	0.65	0.0550085	0.182251
4.85	0.65	0.0183763	0.183986
4.95	0.65	0	0
0.05	0.75	0	0
0.15	0.75	-0.0193041	0.221668
0.25	0.75	-0.0578192	0.219718
0.35	0.75	-0.0960431	0.215755
0.45	0.75	-0.133749	0.209654
0.55	0.75	-0.170669	0.20124
0.65	0.75	-0.206472	0.190298
0.75	0.75	-0.24075	0.176589
0.85	0.75	-0.273012	0.159876
0.95	0.75	-0.302677	0.139949
1.05	0.75	-0.329078	0.116657
1.15	0.75	-0.351468	0.0899422
1.25	0.75	-0.36905	0.059873
1.35	0.75	-0.381003	0.0266796
1.45	0.75	-0.386528	-0.00922602
1.55	0.75	-0.384896	-0.0472319
1.65	0.75	-0.375509	-0.0865261
1.75	0.75	-0.357954	-0.126109
1.85	0.75	-0.332061	-0.164824
1.95	0.75	-0.297949	-0.201402
2.05	0.75	-0.256063	-0.234524
2.15	0.75	-0.207196	-0.262901
2.25	0.75	-0.152473	-0.285354
2.35	0.75	-0.0933249	-0.300907
2.45	0.75	-0.0314201	-0.308866
2.55	0.75	0.0314213	-0.308866
2.65	0.75	0.0933261	-0.300908
2.75	0.75	0.152474	-0.285354
2.85	0.75	0.207197	-0.2629
2.95	0.75	0.256064	-0.234524
3.05	0.75	0.297949	-0.201401
3.15	0.75	0.332062	-0.164823
3.25	0.75	0.357955	-0.126109
3.35	0.75	0.37551	-0.0865259
3.45	0.75	0.384897	-0.0472316
3.55	0.75	0.386528	-0.0092256
3.65	0.75	0.381003	0.0266799
3.75	0.75	0.36905	0.0598733
3.85	0.75	0.351468	0.0899422
3.95	0.75	0.329078	0.116658
4.05	0.75	0.302677	0.13995
4.15	0.75	0.273012	0.159876
4.25	0.75	0.24075	0.176589
4.35	0.75	0.206472	0.190298
4.45	0.75	0.17067	0.20124
4.55	0.75	0.13375	0.209654
4.65	0.75	0.0960428	0.215755
4.75	0.75	0.057819	0.219718
4.85	0.75	0.0193045	0.221668
4.95	0.75	0	0
0.05	0.85	0	0
0.15	0.85	-0.0203264	0.261299
0.25	0.85	-0.0609216	0.259198
0.35	0.85	-0.101333	0.254911
0.45	0.85	-0.1414	0.248273
0.55	0.85	-0.180907	0.239048
0.65	0.85	-0.21956	0.226944
0.75	0.85	-0.256969	0.211629
0.85	0.85	-0.29263	0.19276
0.95	0.85	-0.32592	0.17002
1.05	0.85	-0.356086	0.143153
1.15	0.85	-0.382264	0.112015
1.25	0.85	-0.403496	0.0766141
1.35	0.85	-0.418767	0.037163
1.45	0.85	-0.427061	-0.00589045
1.55	0.85	-0.427424	-0.0518368
1.65	0.85	-0.419032	-0.0997003
1.75	0.85	-0.401272	-0.14825
1.85	0.85	-0.373816	-0.196033
1.95	0.85	-0.336685	-0.241436
2.05	0.85	-0.290304	-0.282756
2.15	0.85	-0.235538	-0.318304
2.25	0.85	-0.173689	-0.346522
2.35	0.85	-0.10646	-0.366116
2.45	0.85	-0.0358679	-0.376155
2.55	0.85	0.0358685	-0.376156
2.65	0.85	0.106461	-0.366116
2.75	0.85	0.173691	-0.346522
2.85	0.85	0.23554	-0.318303
2.95	0.85	0.290305	-0.282755
3.05	0.85	0.336686	-0.241435
3.15	0.85	0.373817	-0.196033
3.25	0.85	0.401273	-0.148249
3.35	0.85	0.419033	-0.0996999
3.45	0.85	0.427424	-0.0518363
3.55	0.85	0.427062	-0.0058899
3.65	0.85	0.418767	0.0371636
3.75	0.85	0.403496	0.0766146
3.85	0.85	0.382264	0.112015
3.95	0.85	0.356086	0.143154
4.05	0.85	0.32592	0.17002
4.15	0.85	0.29263	0.192761
4.25	0.85	0.256968	0.211629
4.35	0.85	0.219559	0.226945
4.45	0.85	0.180907	0.239049
4.55	0.85	0.1414	0.248273
4.65	0.85	0.101333	0.25491
4.75	0.85	0.0609216	0.259198
4.85	0.85	0.0203265	0.261299
4.95	0.85	0	0
0.05	0.95	0	0
0.15	0.95	-0.0214054	0.303032
0.25	0.95	-0.0642076	0.300863
0.35	0.95	-0.106968	0.296416
0.45	0.95	-0.149612	0.289478
0.55	0.95	-0.191998	0.279737
0.65	0.95	-0.233891	0.266802
0.75	0.95	-0.274934	0.250222
0.85	0.95	-0.314621	0.229516
0.95	0.95	-0.352284	0.204218
1.05	0.95	-0.387083	0.173922
1.15	0.95	-0.418007	0.138348
1.25	0.95	-0.443902	0.0974052
1.35	0.95	-0.463508	0.051249
1.45	0.95	-0.475527	0.000338629
1.55	0.95	-0.478706	-0.0545251
1.65	0.95	-0.471922	-0.112189
1.75	0.95	-0.454287	-0.171155
1.85	0.95	-0.425247	-0.229623
1.95	0.95	-0.384671	-0.285553
2.05	0.95	-0.332931	-0.33676
2.15	0.95	-0.270962	-0.381035
2.25	0.95	-0.200285	-0.416317
2.35	0.95	-0.122958	-0.440879
2.45	0.95	-0.0414598	-0.453484
2.55	0.95	0.0414611	-0.453484
2.65	0.95	0.12296	-0.440878
2.75	0.95	0.200287	-0.416316
2.85	0.95	0.270964	-0.381035
2.95	0.95	0.332933	-0.336759
3.05	0.95	0.384672	-0.285552
3.15	0.95	0.425248	-0.229623
3.25	0.95	0.454288	-0.171155
3.35	0.95	0.471923	-0.112188
3.45	0.95	0.478707	-0.0545242
3.55	0.95	0.475528	0.000339605
3.65	0.95	0.463508	0.0512494
3.75	0.95	0.443902	0.0974058
3.85	0.95	0.418007	0.138349
3.95	0.95	0.387083	0.173922
4.05	0.95	0.352285	0.204218
4.15	0.95	0.314621	0.229517
4.25	0.95	0.274934	0.250222
4.35	0.95	0.233892	0.266803
