#BLOCK HEADER time:0
#x	y	initial_phi	radius

#BLOCK HEADER time:0.5
#x	y	initial_phi	radius

#BLOCK HEADER time:1
#x	y	initial_phi	radius

#BLOCK HEADER time:1.5
#x	y	initial_phi	radius

#BLOCK HEADER time:0
#x	y	initial_phi	radius

1.4021	0.70623	-0.0427561	0.0192876
1.4121	0.734684	0.00954136	0.0101676
1.29452	0.721182	-0.0391132	0.0172794
1.37487	0.720485	-0.0190974	0.01
1.35983	0.710174	-0.0383111	0.0136313
1.38164	0.720124	-0.0192562	0.01
1.42086	0.70398	-0.046264	0.0223037
1.4072	0.702901	-0.0485212	0.0229571
1.43213	0.73733	0.0164749	0.0121349
1.61204	0.799415	-0.024226	0.0213416
1.46888	0.726405	-0.00982751	0.01
1.4963	0.749482	0.01548	0.01
1.5462	0.72345	-0.0562489	0.0468085
1.53294	0.728619	-0.0409263	0.0356271
1.60747	0.758456	-0.0629539	0.05
1.61518	0.755266	-0.0744584	0.05
1.51499	0.741461	-0.00955863	0.0144898
1.53723	0.767882	0.00975651	0.01
1.48013	0.721041	-0.0239289	0.0192178
1.53516	0.720324	-0.0545904	0.0448972
1.48984	0.706594	-0.0538565	0.0383562
1.51725	0.755634	0.00980545	0.01
1.55477	0.75801	-0.0152348	0.0187676
1.51554	0.70716	-0.0642581	0.0492413
1.47887	0.716459	-0.0319064	0.0233466
1.66671	0.775243	-0.0999126	0.05
1.64672	0.839179	-0.0335793	0.0112485
1.63764	0.84653	-0.0268141	0.01
1.72916	0.842445	-0.0949755	0.05
1.65697	0.849094	-0.0382052	0.0110489
1.64457	0.810108	-0.0416791	0.033482
1.65385	0.801679	-0.0561839	0.0468605
1.68835	0.813436	-0.07714	0.05
1.68079	0.804457	-0.0791388	0.05
1.72455	0.828805	-0.0993344	0.05
1.7429	0.855264	-0.100019	0.05
1.6304	0.803248	-0.0351589	0.0299807
1.63836	0.791845	-0.0514881	0.0443522
1.67581	0.819108	-0.0611784	0.05
1.7076	0.810218	-0.0999948	0.05
1.62499	0.810495	-0.0272461	0.0206062
1.77595	0.900551	-0.100175	0.05
1.79201	0.917247	-0.100977	0.05
1.74834	0.905704	-0.0762574	0.05
1.82641	0.957655	-0.100738	0.05
1.81595	0.943647	-0.100909	0.05
1.78044	0.905226	-0.10061	0.05
1.8288	0.960839	-0.100857	0.05
1.74405	0.901039	-0.0756921	0.05
1.76404	0.884002	-0.101103	0.05
1.78767	0.912967	-0.100635	0.05
1.80258	0.928154	-0.101367	0.05
1.74597	0.897254	-0.0792357	0.05
1.79655	0.921667	-0.101322	0.05
1.7663	0.887354	-0.100843	0.05
1.79608	0.921197	-0.101292	0.05
1.79616	0.943325	-0.083865	0.05
1.83481	0.96702	-0.102887	0.05
1.80904	0.934323	-0.102089	0.05
1.81793	0.943819	-0.102726	0.05
1.8325	0.964076	-0.10246	0.05
1.88113	1.06768	-0.101109	0.05
1.82641	0.953997	-0.103535	0.05
1.85792	1.01066	-0.102584	0.05
1.83034	0.961324	-0.102146	0.05
1.84702	0.989355	-0.102086	0.05
1.8429	0.979195	-0.103675	0.05
1.83004	0.959	-0.103592	0.05
1.8176	0.943699	-0.102498	0.05
1.83205	0.964281	-0.101805	0.05
1.87065	1.04041	-0.102382	0.05
1.85536	1.00785	-0.101233	0.05
1.82073	0.948042	-0.102163	0.05
0.607541	1.09533	-0.0991012	0.05
0.593332	1.14353	-0.0999962	0.05
0.582723	1.19315	-0.101639	0.05
0.574486	1.2327	-0.100362	0.05
0.586992	1.17158	-0.10032	0.05
0.59473	1.13856	-0.0998359	0.05
0.598169	1.12634	-0.0997164	0.05
0.605417	1.10243	-0.0992567	0.05
0.590116	1.1563	-0.100245	0.05
0.583107	1.19609	-0.100373	0.05
0.593444	1.14335	-0.099894	0.05
0.594046	1.14109	-0.0998644	0.05
0.592608	1.14612	-0.100099	0.05
0.579614	1.2143	-0.100226	0.05
0.587428	1.169	-0.100347	0.05
0.587883	1.16688	-0.100233	0.05
0.651836	1.04794	-0.0579927	0.05
0.641418	1.00161	-0.0993232	0.05
0.608002	1.09139	-0.0998867	0.05
0.621015	1.05158	-0.0998694	0.05
0.60795	1.09299	-0.0993443	0.05
0.595304	1.13618	-0.0999461	0.05
0.653145	0.974022	-0.0993422	0.05
0.639489	1.00604	-0.0994879	0.05
0.609511	1.08559	-0.0999679	0.05
0.609678	1.089	-0.0980911	0.05
0.611828	1.08038	-0.099061	0.05
