# CLEAR
#BLOCK HEADER time:0
#x	y	id	phi

1.45	2.55	-0.039762	0
1.55	2.55	-0.059737	0
1.65	2.55	-0.0797061	0
1.75	2.55	-0.099667	0
1.85	2.55	-0.119616	0
1.95	2.55	-0.139546	0
2.05	2.55	-0.159446	0
2.15	2.55	-0.179289	0
2.25	2.55	-0.19901	0
2.35	2.55	-0.218377	0
2.45	2.55	-0.235858	0
2.55	2.55	-0.235858	0
2.65	2.55	-0.218377	0
2.75	2.55	-0.19901	0
2.85	2.55	-0.179289	0
2.95	2.55	-0.159446	0
3.05	2.55	-0.139546	0
3.15	2.55	-0.119616	0
3.25	2.55	-0.0996671	0
3.35	2.55	-0.0797061	0
3.45	2.55	-0.059737	0
3.55	2.55	-0.0397621	0
3.65	2.55	-0.0197827	0
1.35	2.65	-0.0180517	0
1.45	2.65	-0.037868	0
1.55	2.65	-0.0576462	0
1.65	2.65	-0.0773733	0
1.75	2.65	-0.0970294	0
1.85	2.65	-0.116583	0
1.95	2.65	-0.135982	0
2.05	2.65	-0.155132	0
2.15	2.65	-0.173842	0
2.25	2.65	-0.19169	0
2.35	2.65	-0.207574	0
2.45	2.65	-0.218377	0
2.55	2.65	-0.218377	0
2.65	2.65	-0.207574	0
2.75	2.65	-0.19169	0
2.85	2.65	-0.173842	0
2.95	2.65	-0.155132	0
3.05	2.65	-0.135982	0
3.15	2.65	-0.116583	0
3.25	2.65	-0.0970294	0
3.35	2.65	-0.0773732	0
3.45	2.65	-0.0576462	0
3.55	2.65	-0.037868	0
3.65	2.65	-0.0180517	0
1.35	2.75	-0.014628	0
1.45	2.75	-0.0341296	0
1.55	2.75	-0.0535312	0
1.65	2.75	-0.0727996	0
1.75	2.75	-0.0918861	0
1.85	2.75	-0.110716	0
1.95	2.75	-0.12917	0
2.05	2.75	-0.147044	0
2.15	2.75	-0.163977	0
2.25	2.75	-0.179289	0
2.35	2.75	-0.19169	0
2.45	2.75	-0.19901	0
2.55	2.75	-0.19901	0
2.65	2.75	-0.19169	0
2.75	2.75	-0.179289	0
2.85	2.75	-0.163977	0
2.95	2.75	-0.147044	0
3.05	2.75	-0.12917	0
3.15	2.75	-0.110716	0
3.25	2.75	-0.0918861	0
3.35	2.75	-0.0727995	0
3.45	2.75	-0.0535312	0
3.55	2.75	-0.0341297	0
3.65	2.75	-0.0146279	0
1.35	2.85	-0.00958371	0
1.45	2.85	-0.0286406	0
1.55	2.85	-0.0475154	0
1.65	2.85	-0.0661522	0
1.75	2.85	-0.0844705	0
1.85	2.85	-0.102352	0
1.95	2.85	-0.119616	0
2.05	2.85	-0.135982	0
2.15	2.85	-0.151005	0
2.25	2.85	-0.163977	0
2.35	2.85	-0.173842	0
2.45	2.85	-0.179289	0
2.55	2.85	-0.179289	0
2.65	2.85	-0.173842	0
2.75	2.85	-0.163977	0
2.85	2.85	-0.151005	0
2.95	2.85	-0.135982	0
3.05	2.85	-0.119616	0
3.15	2.85	-0.102352	0
3.25	2.85	-0.0844706	0
3.35	2.85	-0.0661522	0
3.45	2.85	-0.0475154	0
3.55	2.85	-0.0286406	0
3.65	2.85	-0.00958367	0
1.35	2.95	-0.00301825	0
1.45	2.95	-0.0215268	0
1.55	2.95	-0.039762	0
1.65	2.95	-0.0576462	0
1.75	2.95	-0.0750715	0
1.85	2.95	-0.0918861	0
1.95	2.95	-0.107873	0
2.05	2.95	-0.122721	0
2.15	2.95	-0.135982	0
2.25	2.95	-0.147044	0
2.35	2.95	-0.155132	0
2.45	2.95	-0.159446	0
2.55	2.95	-0.159446	0
2.65	2.95	-0.155132	0
2.75	2.95	-0.147044	0
2.85	2.95	-0.135982	0
2.95	2.95	-0.122721	0
3.05	2.95	-0.107873	0
3.15	2.95	-0.0918861	0
3.25	2.95	-0.0750715	0
3.35	2.95	-0.0576462	0
3.45	2.95	-0.039762	0
3.55	2.95	-0.0215268	0
3.65	2.95	-0.00301822	0
1.45	3.05	-0.0129346	0
1.55	3.05	-0.030455	0
1.65	3.05	-0.0475154	0
1.75	3.05	-0.0639892	0
1.85	3.05	-0.0797061	0
1.95	3.05	-0.0944365	0
2.05	3.05	-0.107873	0
2.15	3.05	-0.119616	0
2.25	3.05	-0.12917	0
2.35	3.05	-0.135982	0
2.45	3.05	-0.139546	0
2.55	3.05	-0.139546	0
2.65	3.05	-0.135982	0
2.75	3.05	-0.12917	0
2.85	3.05	-0.119616	0
2.95	3.05	-0.107873	0
3.05	3.05	-0.0944365	0
3.15	3.05	-0.0797061	0
3.25	3.05	-0.0639893	0
3.35	3.05	-0.0475154	0
3.45	3.05	-0.030455	0
3.55	3.05	-0.0129346	0
1.45	3.15	-0.00301822	0
1.55	3.15	-0.0197827	0
1.65	3.15	-0.0359907	0
1.75	3.15	-0.0515057	0
1.85	3.15	-0.0661522	0
1.95	3.15	-0.0797061	0
2.05	3.15	-0.0918861	0
2.15	3.15	-0.102352	0
2.25	3.15	-0.110716	0
2.35	3.15	-0.116583	0
2.45	3.15	-0.119616	0
2.55	3.15	-0.119616	0
2.65	3.15	-0.116583	0
2.75	3.15	-0.110716	0
2.85	3.15	-0.102352	0
2.95	3.15	-0.0918861	0
3.05	3.15	-0.0797061	0
3.15	3.15	-0.0661522	0
3.25	3.15	-0.0515057	0
3.35	3.15	-0.0359906	0
3.45	3.15	-0.0197827	0
3.55	3.15	-0.00301825	0
1.55	3.25	-0.00792564	0
1.65	3.25	-0.0232843	0
1.75	3.25	-0.037868	0
1.85	3.25	-0.0515057	0
1.95	3.25	-0.0639893	0
2.05	3.25	-0.0750715	0
2.15	3.25	-0.0844706	0
2.25	3.25	-0.0918861	0
2.35	3.25	-0.0970294	0
2.45	3.25	-0.0996671	0
2.55	3.25	-0.0996671	0
2.65	3.25	-0.0970294	0
2.75	3.25	-0.0918861	0
2.85	3.25	-0.0844706	0
2.95	3.25	-0.0750715	0
3.05	3.25	-0.0639893	0
3.15	3.25	-0.0515057	0
3.25	3.25	-0.037868	0
3.35	3.25	-0.0232843	0
3.45	3.25	-0.00792564	0
1.65	3.35	-0.0095837	0
1.75	3.35	-0.0232843	0
1.85	3.35	-0.0359906	0
1.95	3.35	-0.0475154	0
2.05	3.35	-0.0576462	0
2.15	3.35	-0.0661522	0
2.25	3.35	-0.0727995	0
2.35	3.35	-0.0773732	0
2.45	3.35	-0.0797061	0
2.55	3.35	-0.0797061	0
2.65	3.35	-0.0773732	0
2.75	3.35	-0.0727995	0
2.85	3.35	-0.0661522	0
2.95	3.35	-0.0576462	0
3.05	3.35	-0.0475154	0
3.15	3.35	-0.0359906	0
3.25	3.35	-0.0232843	0
3.35	3.35	-0.00958367	0
1.75	3.45	-0.00792563	0
1.85	3.45	-0.0197827	0
1.95	3.45	-0.030455	0
2.05	3.45	-0.039762	0
2.15	3.45	-0.0475154	0
2.25	3.45	-0.0535312	0
2.35	3.45	-0.0576462	0
2.45	3.45	-0.059737	0
2.55	3.45	-0.059737	0
2.65	3.45	-0.0576462	0
2.75	3.45	-0.0535312	0
2.85	3.45	-0.0475154	0
2.95	3.45	-0.039762	0
3.05	3.45	-0.030455	0
3.15	3.45	-0.0197827	0
3.25	3.45	-0.00792564	0
1.85	3.55	-0.00301825	0
1.95	3.55	-0.0129346	0
2.05	3.55	-0.0215268	0
2.15	3.55	-0.0286406	0
2.25	3.55	-0.0341297	0
2.35	3.55	-0.037868	0
2.45	3.55	-0.0397621	0
2.55	3.55	-0.0397621	0
2.65	3.55	-0.037868	0
2.75	3.55	-0.0341297	0
2.85	3.55	-0.0286406	0
